Date,Region_North,Region_South,Region_East,Region_West
2024-01-31,100.49671415301123,89.45561727547482,95.34361828956847,84.96417396089005
2024-02-29,100.35844985184005,89.56653986518468,93.58057813420572,86.52881761670406
2024-03-31,101.00613838994074,88.41554628776238,93.90466210360053,83.90907251261432
2024-04-30,102.52916824634876,88.79124430610806,93.5195798231842,84.73097501698953
2024-05-31,102.29501487162543,88.19060561618925,92.84265782287825,84.81802208522771
2024-06-30,102.06087791467625,87.89891186639598,93.45433411171912,84.51901473476184
2024-07-31,103.64009073018364,87.29720525416657,94.48533363421507,84.61077551129733
2024-08-31,104.40752545933655,89.14948343867552,95.41661375333126,82.62320659669645
2024-09-30,103.9380510734016,89.13598621393757,94.57739623010863,82.40353470885894
2024-10-31,104.48061111698756,88.07827528498167,94.26818385425742,82.76064728037068
2024-11-30,104.0171934241751,88.90082019708487,94.59944728566097,84.2385413251122
2024-12-31,103.55146367060485,87.67997654711384,95.57499241278333,83.72027110683855
2025-01-31,103.79342594217087,87.8888401421186,95.09581817493805,82.91177750394536
2025-02-28,101.88014569751307,85.92917001823882,94.91015919827423,82.41002046036083
2025-03-31,100.15522786500004,84.60098396934039,93.8038242242682,83.3254225780629
2025-04-30,99.59294033575907,84.79784520520951,92.60761760018752,83.65417368772259
2025-05-31,98.58010921542466,85.53631178520493,93.42014342258173,83.12441348395555
2025-06-30,98.89435654801993,85.7076800663949,94.77638345115255,83.6376809170689
2025-07-31,97.98633247249872,85.59203178400665,94.70437332957222,83.73475846641695
2025-08-31,96.57402877116343,85.29092808841737,95.70790622746424,84.70340345694983
2025-09-30,98.03967754008498,83.81240609804993,96.06954225251188,84.00135036307248
2025-10-31,97.81390123959844,83.09256188965523,95.42442249790675,83.67368821647472
2025-11-30,97.88142944428637,82.63192311869544,95.78581810341517,83.28158006334256
2025-12-31,96.4566812580729,83.68904534491436,97.32385466988113,81.81806511521043
